COLS: cores=190, threads=1, width=10000, height=10000, time=0.996321
COLS: cores=191, threads=1, width=10000, height=10000, time=0.992029
COLS: cores=192, threads=1, width=10000, height=10000, time=0.981734
COLS: cores=193, threads=1, width=10000, height=10000, time=1.000577
COLS: cores=194, threads=1, width=10000, height=10000, time=0.961489
COLS: cores=195, threads=1, width=10000, height=10000, time=0.980258
COLS: cores=196, threads=1, width=10000, height=10000, time=0.962893
COLS: cores=197, threads=1, width=10000, height=10000, time=0.979509
COLS: cores=198, threads=1, width=10000, height=10000, time=0.943968
COLS: cores=199, threads=1, width=10000, height=10000, time=0.958501
COLS: cores=200, threads=1, width=10000, height=10000, time=0.943846
COLS: cores=201, threads=1, width=10000, height=10000, time=0.956265
COLS: cores=202, threads=1, width=10000, height=10000, time=0.931829
COLS: cores=203, threads=1, width=10000, height=10000, time=0.961201
COLS: cores=204, threads=1, width=10000, height=10000, time=0.958389
COLS: cores=205, threads=1, width=10000, height=10000, time=0.969442
COLS: cores=206, threads=1, width=10000, height=10000, time=0.946438
COLS: cores=207, threads=1, width=10000, height=10000, time=0.965248
COLS: cores=208, threads=1, width=10000, height=10000, time=0.951227
COLS: cores=209, threads=1, width=10000, height=10000, time=0.961709
COLS: cores=210, threads=1, width=10000, height=10000, time=0.924872
COLS: cores=211, threads=1, width=10000, height=10000, time=0.949845
COLS: cores=212, threads=1, width=10000, height=10000, time=0.935230
COLS: cores=213, threads=1, width=10000, height=10000, time=0.955846
COLS: cores=214, threads=1, width=10000, height=10000, time=0.944940
COLS: cores=215, threads=1, width=10000, height=10000, time=0.928265
COLS: cores=216, threads=1, width=10000, height=10000, time=0.933872
COLS: cores=217, threads=1, width=10000, height=10000, time=0.920550
COLS: cores=218, threads=1, width=10000, height=10000, time=0.931203
COLS: cores=219, threads=1, width=10000, height=10000, time=0.915463
COLS: cores=220, threads=1, width=10000, height=10000, time=0.911872
COLS: cores=221, threads=1, width=10000, height=10000, time=0.895776
COLS: cores=222, threads=1, width=10000, height=10000, time=0.909833
COLS: cores=223, threads=1, width=10000, height=10000, time=0.894045
COLS: cores=224, threads=1, width=10000, height=10000, time=0.900076
COLS: cores=225, threads=1, width=10000, height=10000, time=0.882575
COLS: cores=226, threads=1, width=10000, height=10000, time=0.873677
COLS: cores=227, threads=1, width=10000, height=10000, time=0.887592
COLS: cores=228, threads=1, width=10000, height=10000, time=0.893157
COLS: cores=229, threads=1, width=10000, height=10000, time=0.871317
COLS: cores=230, threads=1, width=10000, height=10000, time=0.878074
COLS: cores=231, threads=1, width=10000, height=10000, time=0.882935
COLS: cores=232, threads=1, width=10000, height=10000, time=0.878876
COLS: cores=233, threads=1, width=10000, height=10000, time=0.879660
COLS: cores=234, threads=1, width=10000, height=10000, time=0.869246
COLS: cores=235, threads=1, width=10000, height=10000, time=0.864043
COLS: cores=236, threads=1, width=10000, height=10000, time=0.866878
COLS: cores=237, threads=1, width=10000, height=10000, time=0.865692
COLS: cores=238, threads=1, width=10000, height=10000, time=0.860007
COLS: cores=239, threads=1, width=10000, height=10000, time=0.869986
COLS: cores=240, threads=1, width=10000, height=10000, time=0.869393
COLS: cores=241, threads=1, width=10000, height=10000, time=0.849796
COLS: cores=242, threads=1, width=10000, height=10000, time=0.851531
COLS: cores=243, threads=1, width=10000, height=10000, time=0.855489
COLS: cores=244, threads=1, width=10000, height=10000, time=0.860866
COLS: cores=245, threads=1, width=10000, height=10000, time=0.859995
COLS: cores=246, threads=1, width=10000, height=10000, time=0.855627
COLS: cores=247, threads=1, width=10000, height=10000, time=0.847141
COLS: cores=248, threads=1, width=10000, height=10000, time=0.837025
COLS: cores=249, threads=1, width=10000, height=10000, time=0.841871
COLS: cores=250, threads=1, width=10000, height=10000, time=0.821691
COLS: cores=251, threads=1, width=10000, height=10000, time=0.840823
COLS: cores=252, threads=1, width=10000, height=10000, time=0.834523
COLS: cores=253, threads=1, width=10000, height=10000, time=0.815701
COLS: cores=254, threads=1, width=10000, height=10000, time=0.819137
COLS: cores=255, threads=1, width=10000, height=10000, time=0.828177
COLS: cores=256, threads=1, width=10000, height=10000, time=0.823278
