MPI-STRIPS-WEAK: cores=137, threads=1, width=11704, height=11704, time=0.032334
MPI-STRIPS-WEAK: cores=138, threads=1, width=11747, height=11747, time=0.018597
MPI-STRIPS-WEAK: cores=139, threads=1, width=11789, height=11789, time=0.032025
MPI-STRIPS-WEAK: cores=140, threads=1, width=11832, height=11832, time=0.017034
MPI-STRIPS-WEAK: cores=141, threads=1, width=11874, height=11874, time=0.022131
MPI-STRIPS-WEAK: cores=142, threads=1, width=11916, height=11916, time=0.023740
MPI-STRIPS-WEAK: cores=143, threads=1, width=11958, height=11958, time=0.016768
MPI-STRIPS-WEAK: cores=144, threads=1, width=12000, height=12000, time=0.016542
MPI-STRIPS-WEAK: cores=145, threads=1, width=12041, height=12041, time=0.019823
MPI-STRIPS-WEAK: cores=146, threads=1, width=12083, height=12083, time=0.023643
MPI-STRIPS-WEAK: cores=147, threads=1, width=12124, height=12124, time=0.018100
MPI-STRIPS-WEAK: cores=148, threads=1, width=12165, height=12165, time=0.021139
MPI-STRIPS-WEAK: cores=149, threads=1, width=12206, height=12206, time=0.031835
MPI-STRIPS-WEAK: cores=150, threads=1, width=12247, height=12247, time=0.016958
MPI-STRIPS-WEAK: cores=151, threads=1, width=12288, height=12288, time=0.031786
MPI-STRIPS-WEAK: cores=152, threads=1, width=12328, height=12328, time=0.017794
MPI-STRIPS-WEAK: cores=153, threads=1, width=12369, height=12369, time=0.017714
MPI-STRIPS-WEAK: cores=154, threads=1, width=12409, height=12409, time=0.016878
MPI-STRIPS-WEAK: cores=155, threads=1, width=12449, height=12449, time=0.019736
MPI-STRIPS-WEAK: cores=156, threads=1, width=12489, height=12489, time=0.016240
MPI-STRIPS-WEAK: cores=157, threads=1, width=12529, height=12529, time=0.031543
MPI-STRIPS-WEAK: cores=158, threads=1, width=12569, height=12569, time=0.023887
MPI-STRIPS-WEAK: cores=159, threads=1, width=12609, height=12609, time=0.022136
MPI-STRIPS-WEAK: cores=160, threads=1, width=12649, height=12649, time=0.017566
MPI-STRIPS-WEAK: cores=161, threads=1, width=12688, height=12688, time=0.018310
MPI-STRIPS-WEAK: cores=162, threads=1, width=12727, height=12727, time=0.017561
MPI-STRIPS-WEAK: cores=163, threads=1, width=12767, height=12767, time=0.031458
MPI-STRIPS-WEAK: cores=164, threads=1, width=12806, height=12806, time=0.020996
MPI-STRIPS-WEAK: cores=165, threads=1, width=12845, height=12845, time=0.016646
MPI-STRIPS-WEAK: cores=166, threads=1, width=12884, height=12884, time=0.023850
MPI-STRIPS-WEAK: cores=167, threads=1, width=12922, height=12922, time=0.031377
MPI-STRIPS-WEAK: cores=168, threads=1, width=12961, height=12961, time=0.016356
MPI-STRIPS-WEAK: cores=169, threads=1, width=13000, height=13000, time=0.016353
MPI-STRIPS-WEAK: cores=170, threads=1, width=13038, height=13038, time=0.017411
